protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,eff_conv1,eff_conv2,eff_fc,overlap_same,overlap_diff,separation,train_seconds
stage2b_randk_matched,437fd7c,dense,,30,300,0,3700,0,0.9024,2500,0.9053,206922,,85.8,5.226,22.325,85.609,0.8866,0.8476,0.0391,76.6
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,0,4000,1,0.907,3000,0.9124,206922,0.517,26.0,3.0,6.0,26.0,0.7148,0.5745,0.1402,85.7
stage2b_randk_matched,437fd7c,randk_matched,0.2,30,300,0,4000,1,0.895,3900,0.8972,206922,,26.0,2.96,4.798,26.0,0.337,0.1823,0.1547,113.1
stage2b_randk_matched,437fd7c,randk_nominal,0.2,30,300,0,4000,1,0.7866,3800,0.7909,206922,,7.8,1.063,2.647,7.782,0.0821,0.0434,0.0387,114.1
stage2b_randk_matched,437fd7c,dense,,30,300,1,2400,0,0.8912,1200,0.8994,206922,,76.3,5.785,24.859,76.048,0.8957,0.8533,0.0424,43.9
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,1,1800,0,0.901,600,0.9071,206922,0.5227,26.0,3.0,6.0,26.0,0.6773,0.5151,0.1623,41.0
stage2b_randk_matched,437fd7c,randk_matched,0.2,30,300,1,4000,1,0.8794,3200,0.8821,206922,,25.9,2.445,5.259,25.935,0.3774,0.1957,0.1817,121.1
stage2b_randk_matched,437fd7c,randk_nominal,0.2,30,300,1,4000,1,0.788,3900,0.7895,206922,,7.9,1.253,2.744,7.758,0.0838,0.0437,0.0401,123.5
stage2b_randk_matched,437fd7c,dense,,30,300,2,2000,0,0.8888,800,0.8933,206922,,73.9,6.423,20.987,73.72,0.8781,0.8162,0.0619,47.9
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,2,3900,0,0.9026,2700,0.909,206922,0.5511,26.0,3.0,6.0,26.0,0.7236,0.5768,0.1468,118.2
stage2b_randk_matched,437fd7c,randk_matched,0.2,30,300,2,4000,1,0.8944,4000,0.899,206922,,25.9,3.0,5.334,25.918,0.4091,0.2115,0.1976,159.0
stage2b_randk_matched,437fd7c,randk_nominal,0.2,30,300,2,4000,1,0.7858,3600,0.7847,206922,,7.8,1.191,2.255,7.932,0.0808,0.0423,0.0386,148.2
stage2b_randk_matched,437fd7c,dense,,30,300,3,2100,0,0.8914,900,0.9032,206922,,64.3,9.961,20.938,64.301,0.8989,0.8574,0.0414,54.6
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,3,2500,0,0.9192,1300,0.919,206922,0.4034,26.0,3.0,6.0,25.989,0.7204,0.5508,0.1696,90.3
stage2b_randk_matched,437fd7c,randk_matched,0.2,30,300,3,4000,1,0.9058,3600,0.9121,206922,,25.9,3.0,5.605,25.876,0.4584,0.245,0.2133,202.4
stage2b_randk_matched,437fd7c,randk_nominal,0.2,30,300,3,4000,1,0.787,3600,0.7808,206922,,7.2,1.758,2.215,7.27,0.0821,0.0431,0.0391,189.6
stage2b_randk_matched,437fd7c,dense,,30,300,4,1400,0,0.8734,200,0.8862,206922,,70.7,4.433,22.202,70.75,0.9004,0.8548,0.0456,47.4
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,4,2600,0,0.9176,1400,0.9174,206922,0.3466,26.0,1.333,6.0,26.0,0.6363,0.4678,0.1685,97.1
stage2b_randk_matched,437fd7c,randk_matched,0.2,30,300,4,4000,1,0.8804,3600,0.885,206922,,25.9,1.269,5.604,25.932,0.3698,0.1923,0.1775,190.1
stage2b_randk_matched,437fd7c,randk_nominal,0.2,30,300,4,4000,1,0.7916,4000,0.7948,206922,,7.9,0.905,2.723,7.754,0.084,0.0423,0.0418,187.8
stage2b_randk_matched,437fd7c,dense,,30,300,5,4000,1,0.8954,3500,0.896,206922,,84.3,7.177,21.518,84.264,0.9145,0.8873,0.0272,125.8
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,5,4000,1,0.9052,3100,0.9133,206922,0.4602,26.0,3.0,6.0,26.0,0.6461,0.4589,0.1872,162.7
stage2b_randk_matched,437fd7c,randk_matched,0.2,30,300,5,4000,1,0.8978,3800,0.9013,206922,,26.0,3.0,5.373,25.995,0.3292,0.1683,0.1609,153.1
stage2b_randk_matched,437fd7c,randk_nominal,0.2,30,300,5,4000,1,0.7948,3300,0.7958,206922,,8.7,1.203,2.411,8.697,0.0824,0.0457,0.0367,147.8
stage2b_randk_matched,437fd7c,dense,,30,300,6,1500,0,0.8724,300,0.8839,206922,,73.1,6.944,19.009,72.876,0.8803,0.8291,0.0512,33.7
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,6,3500,0,0.9064,2300,0.9085,206922,0.4205,26.0,3.0,6.0,25.999,0.6978,0.5377,0.1601,99.1
stage2b_randk_matched,437fd7c,randk_matched,0.2,30,300,6,4000,1,0.863,3700,0.8619,206922,,25.8,2.436,5.024,25.833,0.3912,0.2184,0.1728,150.2
stage2b_randk_matched,437fd7c,randk_nominal,0.2,30,300,6,4000,1,0.7426,4000,0.7435,206922,,6.8,1.076,2.788,6.875,0.0806,0.043,0.0376,140.8
stage2b_randk_matched,437fd7c,dense,,30,300,7,2200,0,0.9008,1000,0.9067,206922,,64.5,6.595,22.164,64.442,0.9008,0.8634,0.0374,51.6
stage2b_randk_matched,437fd7c,kwta_channel,0.2,30,300,7,4000,1,0.9098,4000,0.9138,206922,0.5057,26.0,3.0,6.0,26.0,0.6951,0.5299,0.1652,118.2
